"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1","53001950100",918,179,479,260,310,341,267,43,0,0,5,20,50,78,2,10,19,0,5,0,1,109,148,2,174,15,237,878,9,6,11,1,13,839,79,72,231,287,149,457,461,0,0,0,0,0,0,0,0,0,0
"2","53001950200",480,63,228,189,157,156,167,103,0,0,2,6,97,33,28,0,0,0,0,0,1,116,15,0,0,1,78,457,7,1,12,0,3,422,58,58,123,140,96,283,197,0,0,0,0,0,0,0,0,0,0
"3","53001950300",1774,337,960,477,388,812,574,1173,0,0,46,132,143,17,169,0,0,8,7,0,5,0,59,15,0,0,0,1527,92,24,91,4,36,1118,656,432,395,400,210,1147,627,0,0,0,0,0,0,0,0,0,0
"4","53001950400",2310,551,1240,519,344,1047,919,127,0,68,18,930,22,122,53,21,49,13,25,0,6,6,637,9,113,24,67,2170,49,31,31,6,23,1154,1156,437,502,522,298,1175,1135,0,0,0,0,0,0,0,0,0,0
"5","53001950500",1960,426,1057,477,551,924,485,535,0,0,23,8,69,335,181,0,0,9,15,0,8,577,100,0,69,30,1,1785,50,26,66,1,32,1213,747,361,456,456,261,936,1024,0,0,0,0,0,0,0,0,0,0
"6","53003960100",658,97,382,179,172,242,244,34,0,0,19,111,18,8,17,2,1,6,9,0,17,104,20,13,59,4,216,626,4,8,6,3,11,638,20,64,193,201,103,385,273,0,0,0,0,0,0,0,0,0,0
"7","53003960200",458,146,195,117,194,145,119,16,0,19,90,29,11,67,5,11,0,3,20,0,37,0,52,83,10,3,2,440,2,5,1,0,10,439,19,28,113,112,59,278,180,0,0,0,0,0,0,0,0,0,0
"8","53003960300",3100,798,1507,795,908,1334,858,31,0,17,208,157,37,768,16,13,74,19,143,9,49,620,264,55,462,71,87,2936,35,42,31,3,53,2962,138,246,752,818,486,1374,1726,0,0,0,0,0,0,0,0,0,0
"9","53003960400",101,37,38,26,51,37,13,2,0,0,14,0,2,0,1,0,0,0,15,0,6,23,38,0,0,0,0,98,0,1,1,1,0,100,1,7,24,24,9,41,60,0,0,0,0,0,0,0,0,0,0
"10","53003960500",1054,239,570,245,246,471,337,0,0,0,8,0,6,56,3,25,31,6,36,0,6,0,803,0,25,49,0,1006,2,9,18,2,17,1024,30,88,223,349,155,229,825,0,0,0,0,0,0,0,0,0,0
"11","53003960600",329,74,184,71,96,165,68,0,0,0,37,144,3,0,13,0,11,0,3,0,3,0,53,7,25,30,0,308,2,5,3,0,11,312,17,27,106,89,33,216,113,0,0,0,0,0,0,0,0,0,0
"12","53005010100",6450,783,3467,2200,624,653,5173,0,0,1413,34,97,26,23,0,53,3,22,2284,0,1281,554,85,0,505,17,53,5962,116,60,212,9,91,5878,572,322,1095,1803,2447,4431,2019,0,0,0,0,0,0,0,0,0,0
"13","53005010201",4290,647,2487,1156,552,836,2902,0,2,0,618,1190,242,44,155,11,1,18,1013,3,548,5,84,197,60,88,11,3968,70,36,151,10,55,3720,570,382,950,1166,1145,3086,1204,0,0,0,0,0,0,0,0,0,0
"14","53005010202",9037,822,5379,2836,356,630,8051,0,0,0,326,11,13,163,13,0,6,136,3486,0,4518,0,272,0,64,29,0,8291,180,63,369,9,125,8382,655,487,1618,2540,3570,6111,2926,0,0,0,0,0,0,0,0,0,0
"15","53005010300",272,77,147,48,111,93,68,0,0,0,14,0,8,66,0,3,0,1,35,0,2,9,51,0,32,51,0,244,4,4,13,0,7,236,36,25,55,71,44,127,145,0,0,0,0,0,0,0,0,0,0
"16","53005010400",1656,167,968,521,417,550,689,0,0,0,10,0,0,0,0,0,0,0,9,0,0,1571,26,0,30,10,0,1573,15,9,35,3,21,1570,86,76,345,486,582,380,1276,0,0,0,0,0,0,0,0,0,0
"17","53005010500",7807,1644,4568,1595,1264,2542,4001,0,0,0,163,7,5,387,0,1,348,11,481,9,193,57,4287,54,576,87,1141,7177,136,73,276,9,136,6831,976,413,1332,2107,2311,2781,5026,0,0,0,0,0,0,0,0,0,0
"18","53005010600",2863,811,1520,532,777,1268,818,78,0,0,281,9,90,577,30,11,48,46,182,3,110,44,519,159,468,191,17,2631,56,30,90,3,53,2345,518,318,622,675,437,1359,1504,0,0,0,0,0,0,0,0,0,0
"19","53005010701",266,48,153,65,123,105,38,56,0,0,34,122,1,34,0,0,0,0,0,0,1,0,18,0,0,0,0,246,9,2,8,0,1,174,92,59,56,57,46,127,139,0,0,0,0,0,0,0,0,0,0
"20","53005010703",240,64,135,41,103,98,39,19,0,0,18,19,4,12,0,0,0,9,5,0,37,0,60,18,31,8,0,215,4,6,9,0,6,206,34,35,57,53,31,99,141,0,0,0,0,0,0,0,0,0,0
"21","53005010705",150,47,67,36,54,70,26,0,0,0,36,1,2,7,3,23,13,0,4,0,11,0,46,0,0,4,0,138,1,0,5,2,4,120,30,13,31,33,26,65,85,0,0,0,0,0,0,0,0,0,0
"22","53005010707",147,55,75,17,47,46,54,4,0,0,47,2,3,6,0,0,2,3,11,0,47,0,17,0,0,5,0,138,3,2,2,0,2,125,22,13,36,30,13,85,62,0,0,0,0,0,0,0,0,0,0
"23","53005010708",402,119,208,75,120,151,131,6,0,0,58,29,0,92,0,23,0,5,15,0,0,0,32,0,48,20,74,371,6,1,15,1,8,340,62,47,76,90,70,217,185,0,0,0,0,0,0,0,0,0,0
"24","53005010803",2562,955,1187,420,896,1176,490,138,0,0,187,128,4,935,21,1,28,23,69,8,89,3,215,183,464,66,0,2341,52,27,87,7,48,2055,507,253,470,531,353,1292,1270,0,0,0,0,0,0,0,0,0,0
"25","53005010805",2326,631,1200,495,578,820,928,27,0,4,175,32,21,436,326,2,29,20,227,3,67,64,560,0,190,118,25,2162,50,22,62,4,26,1961,365,193,491,608,403,1051,1275,0,0,0,0,0,0,0,0,0,0
"26","53005010807",255,58,127,70,89,126,40,6,0,0,8,218,0,0,0,3,0,4,6,0,5,0,3,0,0,2,0,229,10,0,11,0,5,187,68,40,59,60,38,147,108,0,0,0,0,0,0,0,0,0,0
"27","53005010809",4893,1787,2269,837,1692,1899,1302,15,0,0,62,72,141,1593,3,67,204,171,301,283,215,59,444,103,949,170,41,4404,151,51,190,3,94,3942,951,449,876,976,805,1929,2964,0,0,0,0,0,0,0,0,0,0
"28","53005010810",603,254,275,74,171,295,137,0,0,1,15,0,28,8,0,0,226,30,19,0,7,20,19,73,121,36,0,560,11,5,17,0,10,496,107,37,98,107,107,286,317,0,0,0,0,0,0,0,0,0,0
"29","53005010811",185,39,103,43,61,80,44,26,0,0,73,26,2,2,6,5,0,1,10,0,17,2,14,0,0,1,0,165,4,5,8,1,2,138,47,34,36,39,37,120,65,0,0,0,0,0,0,0,0,0,0
"30","53005010813",1615,481,813,321,407,682,526,8,0,0,475,40,33,159,17,3,43,45,53,0,45,23,346,42,212,49,22,1499,29,17,39,3,28,1298,317,166,309,392,267,827,788,0,0,0,0,0,0,0,0,0,0
"31","53005010814",261,57,134,70,82,97,82,47,0,5,83,0,1,0,40,0,2,1,20,0,27,0,12,0,20,3,0,245,1,3,7,2,3,203,58,40,61,70,33,186,75,0,0,0,0,0,0,0,0,0,0
"32","53005010901",7535,2528,3822,1185,2264,3167,2104,0,0,0,383,259,210,1836,102,194,253,284,264,97,965,22,1351,222,730,267,96,6876,208,81,211,17,142,6223,1312,651,1440,1759,1157,3441,4094,0,0,0,0,0,0,0,0,0,0
"33","53005010902",1139,274,643,222,317,536,286,0,0,0,70,4,20,142,7,56,107,47,40,0,195,7,277,23,30,114,0,1034,19,19,46,2,19,949,190,95,267,296,207,485,654,0,0,0,0,0,0,0,0,0,0
"34","53005011001",1009,324,498,187,286,503,220,0,0,0,28,1,12,115,56,29,29,96,105,16,24,4,320,0,102,60,12,903,35,14,30,3,24,815,194,103,191,232,159,463,546,0,0,0,0,0,0,0,0,0,0
"35","53005011002",2398,795,1218,385,761,1133,504,1,0,50,89,1,24,591,0,45,165,1,33,0,234,25,421,127,451,87,53,2159,66,24,101,4,44,1849,549,288,477,508,330,1031,1367,0,0,0,0,0,0,0,0,0,0
"36","53005011100",1806,592,846,368,560,815,431,1,0,242,53,15,7,665,29,21,50,8,57,0,53,6,181,18,365,35,0,1649,53,19,43,2,40,1440,366,192,359,384,279,827,979,0,0,0,0,0,0,0,0,0,0
"37","53005011200",4551,805,2438,1308,1047,1602,1902,2,0,0,15,0,0,144,0,56,0,71,2,0,1,2818,996,17,27,25,377,4261,80,33,118,8,51,3980,571,291,771,1353,1331,1362,3189,0,0,0,0,0,0,0,0,0,0
"38","53005011300",4313,1009,2421,883,997,1634,1682,191,0,37,1002,200,213,453,44,108,52,102,54,0,496,16,903,6,322,108,6,3931,110,62,126,3,81,3508,805,501,972,1136,695,2444,1869,0,0,0,0,0,0,0,0,0,0
"39","53005011401",182,55,98,29,64,70,48,0,0,0,21,8,6,32,0,0,0,6,0,0,32,0,39,0,37,1,0,161,7,4,5,2,3,125,57,25,40,33,29,99,83,0,0,0,0,0,0,0,0,0,0
"40","53005011402",184,45,99,40,73,78,33,38,0,0,43,0,10,1,0,0,0,0,3,0,43,0,40,0,0,6,0,166,2,5,6,1,4,126,58,36,45,37,21,111,73,0,0,0,0,0,0,0,0,0,0
"41","53005011501",1551,312,824,415,314,582,655,372,0,0,136,408,41,49,171,0,2,7,9,0,24,149,49,90,17,27,0,1387,43,19,72,0,30,1190,361,223,384,402,230,1025,526,0,0,0,0,0,0,0,0,0,0
"42","53005011503",1477,450,725,302,405,646,426,9,0,0,144,11,13,257,0,20,30,14,117,0,155,0,313,53,171,80,90,1340,35,18,59,1,24,1165,312,178,266,342,241,724,753,0,0,0,0,0,0,0,0,0,0
"43","53005011504",336,57,169,110,181,95,60,233,0,1,42,0,3,16,10,0,0,6,13,0,2,0,10,0,0,0,0,288,13,9,23,0,3,239,97,72,76,80,51,209,127,0,0,0,0,0,0,0,0,0,0
"44","53005011600",2028,298,1127,603,405,819,804,1487,0,40,6,317,9,28,15,0,0,15,0,36,0,34,30,0,0,7,4,1783,73,40,88,8,36,1175,853,575,446,430,279,1287,741,0,0,0,0,0,0,0,0,0,0
"45","53005011700",3378,651,1959,768,927,1139,1312,438,0,72,17,539,27,237,3,16,28,11,51,0,10,442,420,38,268,64,697,3129,66,46,79,7,51,2428,950,443,688,992,604,1459,1919,0,0,0,0,0,0,0,0,0,0
"46","53005011800",2261,388,1129,744,739,1216,306,1887,0,0,16,97,58,2,23,5,0,7,0,0,31,29,95,0,0,11,0,1896,106,48,143,15,53,1324,937,605,494,474,300,1390,871,0,0,0,0,0,0,0,0,0,0
"47","53005011900",1465,271,739,455,495,725,245,960,0,5,14,56,24,35,7,3,6,4,17,0,0,226,61,0,20,4,23,1244,61,21,88,10,41,1025,440,282,323,348,241,783,682,0,0,0,0,0,0,0,0,0,0
"48","53005012000",118,32,45,41,14,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,103,9,1,4,0,1,103,15,11,19,35,21,72,46,0,0,0,0,0,0,0,0,0,0
"49","53007960100",449,70,234,145,124,208,117,80,0,1,61,84,5,22,14,4,0,1,0,0,8,75,12,3,63,2,14,413,6,8,11,1,10,353,96,76,113,116,74,262,187,0,0,0,0,0,0,0,0,0,0
"50","53007960200",2767,794,1268,705,1143,1136,488,35,0,8,88,85,28,384,5,21,26,89,23,0,30,316,313,47,1142,58,69,2656,38,11,20,5,37,2457,310,288,683,622,380,1186,1581,0,0,0,0,0,0,0,0,0,0
"51","53007960300",3227,562,1692,973,791,1583,853,338,8,7,150,106,543,341,38,47,86,42,34,3,48,320,467,17,426,85,121,2965,66,39,100,13,44,2523,704,525,780,791,569,1534,1693,0,0,0,0,0,0,0,0,0,0
"52","53007960400",1316,249,656,411,427,704,185,408,0,12,86,69,177,86,1,4,0,75,12,0,39,134,17,132,44,13,7,1133,40,64,42,8,29,854,462,321,312,262,172,757,559,0,0,0,0,0,0,0,0,0,0
"53","53007960500",2148,367,1184,597,927,966,255,1518,0,3,120,66,25,166,4,2,0,19,18,0,68,0,38,10,83,6,2,1906,79,27,82,16,38,1264,884,664,459,426,232,1395,753,0,0,0,0,0,0,0,0,0,0
"54","53007960600",2434,613,1296,525,796,1310,328,308,0,20,34,188,1111,132,10,11,59,33,13,7,4,222,161,3,84,19,15,2250,51,34,51,9,39,1665,769,496,533,474,318,1296,1138,0,0,0,0,0,0,0,0,0,0
"55","53007960700",5979,1012,3350,1617,899,3252,1828,3655,8,13,466,537,214,238,187,39,113,20,164,0,1,10,92,3,95,38,86,5315,179,101,260,23,101,4023,1956,1333,1399,1490,745,3593,2386,0,0,0,0,0,0,0,0,0,0
"56","53007960801",241,37,130,74,80,94,67,28,0,0,21,0,5,15,0,2,0,1,8,0,3,69,69,4,0,11,5,222,5,2,8,0,4,179,62,44,52,57,51,98,143,0,0,0,0,0,0,0,0,0,0
"57","53007960802",7865,2130,3861,1874,1997,3362,2506,512,0,9,357,98,302,1873,62,33,185,119,168,23,185,371,1789,94,1294,145,246,7294,144,84,195,17,131,6565,1300,883,1647,1968,1237,3645,4220,0,0,0,0,0,0,0,0,0,0
"58","53007961000",5894,1100,3252,1542,1661,1765,2468,518,0,844,122,212,91,418,115,339,153,51,329,0,217,168,760,81,492,243,741,5558,92,58,98,14,74,4989,905,652,1284,1676,1182,3097,2797,0,0,0,0,0,0,0,0,0,0
"59","53007961100",3542,611,2068,863,466,1231,1845,27,0,0,144,67,114,152,44,0,8,8,18,0,109,0,2697,4,21,118,11,3344,42,37,56,7,56,3002,540,360,790,1129,652,1092,2450,0,0,0,0,0,0,0,0,0,0
"60","53007961200",1339,215,757,367,382,367,590,500,0,13,116,470,2,13,23,6,0,4,3,0,37,0,40,109,0,3,0,1213,32,15,44,2,33,994,345,290,333,319,182,1000,339,0,0,0,0,0,0,0,0,0,0
"61","53007961301",122,35,58,29,59,50,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,58,52,0,3,0,115,0,1,5,1,0,103,19,13,23,26,25,38,84,0,0,0,0,0,0,0,0,0,0
"62","53007961302",1635,246,885,504,542,557,536,71,0,0,63,0,4,57,7,0,0,1,13,0,26,1175,190,8,1,16,3,1562,11,24,20,2,16,1392,243,152,351,464,422,549,1086,0,0,0,0,0,0,0,0,0,0
"63","53009000200",619,94,336,189,69,188,362,3,0,1,0,0,0,15,0,4,0,3,0,0,0,137,8,0,23,10,415,529,3,53,7,1,26,575,44,38,164,200,123,384,235,0,0,0,0,0,0,0,0,0,0
"64","53009000300",1366,296,672,398,362,579,425,151,0,2,29,25,9,164,58,16,5,14,10,0,14,288,295,21,164,24,77,1278,9,41,18,4,16,1277,89,131,358,356,225,569,797,0,0,0,0,0,0,0,0,0,0
"65","53009000400",198,61,97,40,74,82,42,25,2,0,30,4,0,19,15,0,0,0,0,0,4,0,15,3,81,0,0,141,3,37,10,2,5,166,32,18,56,42,21,105,93,0,0,0,0,0,0,0,0,0,0
"66","53009000600",395,75,197,123,159,119,117,38,0,5,11,0,5,7,6,1,7,0,1,0,71,81,31,1,94,35,1,358,9,7,13,0,8,375,20,34,109,95,82,179,216,0,0,0,0,0,0,0,0,0,0
"67","53009000700",868,148,487,233,92,299,477,0,0,0,9,531,0,40,60,0,0,5,4,54,20,6,23,0,6,110,0,808,13,14,18,1,14,831,37,61,263,250,146,678,190,0,0,0,0,0,0,0,0,0,0
"68","53009000800",635,117,307,211,161,259,215,0,0,0,83,39,2,65,123,1,0,7,6,0,15,0,172,1,46,46,29,588,5,16,11,1,14,613,22,66,156,208,88,355,280,0,0,0,0,0,0,0,0,0,0
"69","53009000900",1533,429,734,370,498,671,364,0,0,0,34,10,44,282,78,46,95,32,32,83,26,1,232,49,347,102,40,1404,23,35,37,4,30,1475,58,106,388,368,242,651,882,0,0,0,0,0,0,0,0,0,0
"70","53009001000",2581,350,1366,865,564,864,1153,62,0,0,25,21,4,229,2,53,67,14,88,31,8,507,438,3,182,134,713,2416,20,40,49,6,50,2484,97,179,600,871,581,1073,1508,0,0,0,0,0,0,0,0,0,0
"71","53009001100",218,33,129,56,59,105,54,0,0,0,14,0,0,46,0,36,2,37,0,0,1,4,60,0,9,9,0,206,1,2,5,0,4,208,10,23,59,66,37,76,142,0,0,0,0,0,0,0,0,0,0
"72","53009001200",3011,558,1537,916,659,1064,1288,9,0,0,28,0,0,284,9,5,25,26,55,0,45,402,1689,18,385,26,5,2771,26,63,81,7,63,2876,135,201,622,944,686,982,2029,0,0,0,0,0,0,0,0,0,0
"73","53009001300",1135,246,576,313,271,502,362,9,0,72,75,19,53,464,114,15,10,13,26,0,50,5,42,0,82,47,39,1039,16,20,29,1,30,1084,51,96,335,295,163,669,466,0,0,0,0,0,0,0,0,0,0
"74","53009001400",247,67,128,52,70,102,75,10,0,0,37,11,7,86,29,0,0,1,5,0,10,0,27,0,0,13,11,234,2,3,1,1,6,243,4,20,74,56,30,174,73,0,0,0,0,0,0,0,0,0,0
"75","53009001500",811,123,470,218,87,235,489,22,0,4,122,284,3,15,55,0,0,0,5,0,14,0,113,48,1,0,125,625,7,145,10,1,23,761,50,72,273,246,97,553,258,0,0,0,0,0,0,0,0,0,0
"76","53009001600",294,72,131,91,133,100,61,20,0,8,46,57,13,30,7,0,0,3,19,0,1,0,48,0,18,24,0,282,1,6,1,0,4,283,11,24,86,68,44,177,117,0,0,0,0,0,0,0,0,0,0
"77","53009001700",841,182,430,229,251,402,188,6,2,7,122,145,87,175,75,3,0,13,15,0,20,33,54,19,37,28,0,797,2,12,16,1,13,791,50,78,224,230,127,488,353,0,0,0,0,0,0,0,0,0,0
"78","53009001800",511,55,297,159,64,119,328,90,0,0,33,24,0,1,0,2,0,2,8,0,14,1,6,161,7,0,162,458,5,31,5,0,12,491,20,31,143,146,136,302,209,0,0,0,0,0,0,0,0,0,0
"79","53009001900",279,43,143,93,81,108,90,47,3,10,39,16,3,0,3,4,0,16,48,0,16,1,25,32,1,15,0,261,1,4,11,0,2,262,17,24,69,81,62,163,116,0,0,0,0,0,0,0,0,0,0
"80","53009002000",1514,435,676,403,500,729,285,37,0,5,42,0,1,563,10,17,12,25,55,1,11,0,423,2,271,39,0,1356,41,17,65,2,33,1417,97,128,337,397,217,641,873,0,0,0,0,0,0,0,0,0,0
"81","53009002100",2683,551,1375,757,969,1068,646,0,0,0,105,51,36,325,0,27,92,25,69,0,165,494,590,125,369,103,107,2457,31,42,82,7,64,2559,124,219,608,756,549,1079,1604,0,0,0,0,0,0,0,0,0,0
"82","53009002300",651,133,311,207,158,341,152,17,0,4,44,0,0,5,3,0,0,5,15,0,15,1,125,372,26,16,3,556,5,55,17,1,17,627,24,58,183,183,94,337,314,0,0,0,0,0,0,0,0,0,0
"83","53009940000",1549,91,931,527,72,193,1284,20,0,0,0,0,2,14,1,1,0,0,911,0,0,0,6,0,0,18,576,1080,43,274,88,12,52,1435,114,33,206,379,840,865,684,0,0,0,0,0,0,0,0,0,0
"84","53011040101",452,142,214,96,164,153,135,46,1,0,149,7,24,33,12,7,5,0,8,0,15,36,21,2,45,15,26,417,11,9,7,0,8,427,25,31,99,122,58,265,187,0,0,0,0,0,0,0,0,0,0
"85","53011040102",393,105,201,87,99,129,165,8,0,0,200,1,51,0,3,1,0,0,12,0,13,0,56,9,15,12,12,379,3,5,3,0,3,378,15,35,96,86,71,272,121,0,0,0,0,0,0,0,0,0,0
"86","53011040201",946,222,534,190,286,336,324,151,0,0,59,78,45,85,5,1,1,0,21,0,9,11,27,387,43,23,0,803,9,9,101,4,20,857,89,94,235,244,151,522,424,0,0,0,0,0,0,0,0,0,0
"87","53011040202",421,78,254,89,103,180,138,7,0,0,62,8,23,12,1,1,0,1,20,0,24,6,26,218,0,12,0,322,3,10,76,2,8,394,27,53,98,120,72,246,175,0,0,0,0,0,0,0,0,0,0
"88","53011040203",551,117,309,125,154,179,218,3,0,0,203,27,17,9,13,13,0,0,13,0,24,175,16,0,0,14,24,517,11,8,8,0,7,517,34,40,119,138,137,338,213,0,0,0,0,0,0,0,0,0,0
"89","53011040301",233,63,114,56,72,98,63,25,0,0,51,3,10,31,5,0,2,22,2,0,47,0,4,24,7,0,0,208,3,2,10,2,8,211,22,24,56,59,31,132,101,0,0,0,0,0,0,0,0,0,0
"90","53011040302",2184,502,1200,482,409,935,840,35,0,0,187,590,392,48,271,6,22,22,47,0,28,254,91,11,105,18,57,1994,40,20,85,8,37,1997,187,185,491,549,457,1353,831,0,0,0,0,0,0,0,0,0,0
"91","53011040403",446,107,263,76,145,139,162,43,0,0,60,45,11,42,78,0,1,10,30,0,11,42,17,11,14,31,0,418,3,6,10,0,9,427,19,47,118,95,79,273,173,0,0,0,0,0,0,0,0,0,0
"92","53011040407",1960,561,994,405,502,797,661,61,0,0,354,292,15,202,177,30,7,15,103,12,156,8,159,24,308,37,0,1810,34,21,68,6,21,1811,149,181,443,473,302,1052,908,0,0,0,0,0,0,0,0,0,0
"93","53011040408",546,164,291,91,85,131,330,16,0,0,372,13,19,3,1,30,1,4,6,0,3,1,66,0,0,11,0,529,6,3,6,0,2,524,22,39,103,143,97,418,128,0,0,0,0,0,0,0,0,0,0
"94","53011040409",1003,153,555,295,250,252,501,0,0,0,26,69,7,52,0,0,21,10,32,0,34,729,16,3,0,4,0,904,19,8,54,0,18,949,54,51,156,254,389,475,528,0,0,0,0,0,0,0,0,0,0
"95","53011040411",3085,615,1920,550,426,1159,1500,0,0,0,74,0,14,129,9,0,46,33,32,0,48,21,2433,2,186,58,0,2736,56,24,195,9,65,2917,168,174,516,884,896,787,2298,0,0,0,0,0,0,0,0,0,0
"96","53011040412",1059,168,645,246,159,312,588,0,0,0,57,1,21,86,2,0,45,8,32,0,6,1,718,1,45,36,0,933,18,11,80,5,12,1001,58,59,190,299,343,316,743,0,0,0,0,0,0,0,0,0,0
"97","53011040413",642,173,365,104,131,255,256,0,0,0,90,1,2,98,6,2,25,0,11,0,0,0,230,0,48,63,66,587,14,8,20,0,13,596,46,39,130,161,139,303,339,0,0,0,0,0,0,0,0,0,0
"98","53011040414",1154,430,554,170,405,476,273,0,0,0,154,8,51,351,0,24,55,0,39,0,147,0,115,0,160,50,0,1072,17,8,34,2,21,1090,64,77,238,236,173,537,617,0,0,0,0,0,0,0,0,0,0
"99","53011040415",1344,334,680,330,547,560,237,5,0,0,33,0,11,174,0,1,8,7,71,0,600,5,133,7,160,26,103,1124,71,26,71,9,43,1227,117,132,297,357,224,486,858,0,0,0,0,0,0,0,0,0,0
"100","53011040416",132,45,63,24,41,35,56,0,0,0,84,7,8,6,0,3,0,0,5,0,4,5,8,0,0,2,0,124,2,0,2,0,4,126,6,7,28,33,19,87,45,0,0,0,0,0,0,0,0,0,0
"101","53011040504",347,79,190,78,55,105,187,3,0,0,83,0,16,0,6,0,2,16,7,0,45,2,12,0,0,12,143,316,15,0,9,0,7,329,18,21,86,88,73,226,121,0,0,0,0,0,0,0,0,0,0
"102","53011040505",792,154,465,173,247,219,326,2,0,0,154,3,32,7,5,0,1,0,52,0,47,325,86,0,40,16,22,745,6,6,21,4,10,752,40,62,161,213,202,368,424,0,0,0,0,0,0,0,0,0,0
"103","53011040507",1158,215,651,292,104,445,609,1,0,0,107,797,130,35,39,2,0,16,0,3,9,0,16,0,0,3,0,1062,19,15,36,5,21,1092,66,100,309,312,222,836,322,0,0,0,0,0,0,0,0,0,0
"104","53011040508",425,144,200,81,141,169,115,0,0,0,108,0,10,82,0,2,7,1,19,0,9,2,49,41,64,31,0,386,6,2,21,2,8,405,20,32,84,98,67,211,214,0,0,0,0,0,0,0,0,0,0
"105","53011040509",949,137,555,257,321,330,298,0,0,0,14,24,3,78,3,20,8,36,23,0,42,455,63,0,71,36,73,887,6,5,33,1,17,903,46,77,211,269,255,375,574,0,0,0,0,0,0,0,0,0,0
"106","53011040510",214,36,116,62,66,48,100,1,0,0,40,3,47,3,0,2,8,8,20,2,39,3,11,3,0,24,0,194,6,5,8,0,1,205,9,19,47,48,64,129,85,0,0,0,0,0,0,0,0,0,0
"107","53011040511",139,44,65,30,36,45,58,0,0,0,58,0,2,2,27,4,0,0,4,0,27,1,12,0,0,2,0,122,4,3,6,0,4,125,14,11,28,31,25,92,47,0,0,0,0,0,0,0,0,0,0
"108","53011040603",177,48,87,42,55,75,47,1,0,0,53,3,19,6,0,0,2,0,15,0,18,1,55,0,0,4,0,144,7,4,10,9,3,162,15,9,39,42,39,80,97,0,0,0,0,0,0,0,0,0,0
"109","53011040604",403,136,194,73,140,148,115,4,0,0,117,5,42,48,6,2,0,15,29,0,37,1,37,0,30,30,0,367,12,4,16,0,4,381,22,31,74,99,63,223,180,0,0,0,0,0,0,0,0,0,0
